that mo when peopl say you don't ne medicin it' mind ov mat you ne to stop do that bipolar || Ground truth: anger
let' start al ov again fel lov hapi loyalty truth || Ground truth: joy
john let not your heart b troubl neith let it b afraid peac afraid || Ground truth: joy
th on most important th w forget that w ne to denounc terorism not stok comunalism amarnathteroratack || Ground truth: anger
anoth blow for student a th su hav shun wildcat for fear they wil ofend dr dr || Ground truth: sadness
if peopl twet about loveisland we'r a pasionat about oth topic th world would b a much bet plac dul || Ground truth: sadness
us i’m glad to hear that kara don’t hesitat to get in touch again if you ne to cheryl || Ground truth: joy
when you baby ha their first temperatur and al you do i wory firstimemum firstimemom newborn baby sickbaby wory || Ground truth: sadness
us of to jail with lot of oth lik mind muslim with hi koran pray mat halal islam = terorism || Ground truth: anger
ato hack into your phon cal and text mesag privacylaw invasion i knew they did it but hear them get aproval || Ground truth: anger
on sid i th concern &amp fear our ten safety &amp hapi thathoriblesuicidegam terify sosick contd || Ground truth: sadness
us us i'm dismay at th uk decision to pul out of th eu and i'v urg may to rejoin european leader 😉 || Ground truth: anger
us nev a god experienc at  fort av loca i nev learn becaus i lov chipotl teribl badservic || Ground truth: anger
befor i fear of not hav you in my lif now i fear of let you back into my lif fear || Ground truth: sadness
us us you real ne bet sourc info and avoid th fak new it ha cloud even th obviou || Ground truth: anger
ask yourself thi if th alga apear to b gon i it real i it worth th risk alga wat toxic threat methan canc || Ground truth: anger
long to se your fac christ jesu i rejoic in th anticipa of your com again || Ground truth: joy
jeremyvin tak a slight dul subject and mak it so tedious bor you actual want to rip your own throat out || Ground truth: anger
us out of hi motherfuck mind don't think anyon could say it any bet terify bigestcrybabyinhistory || Ground truth: anger
unfortunate listen to us us a god a hi show i actual mak m want to emigrat worstgovernmentev || Ground truth: anger
trump' a magician but th prestig kep be nothingburger again and th idiot kep foam at th mouth in pack ov it || Ground truth: anger
your smil could nev mak m frown || Ground truth: joy
us sory to burst your bubl but oposi research i part of every political campaign doesn't mat wher it com from || Ground truth: sadness
why would mourinho b talk about lacazet h doesn't wory about oth club' player that' klop and wenger' job || Ground truth: anger
