that mo when peopl say you don't ne medicin it' mind ov mat you ne to stop do that bipolar || Ground truth: anger
favorit charact who' nam start with th let m prisonbreak th greysanatomy || Ground truth: joy
us rumor ha you ar welendow awesom truth i you ar a big 😲 notsomuch so you know a bunch of gaypeopl sowhat || Ground truth: anger
helo phy i'm stres ov u ayuku na ¿ ☹ || Ground truth: sadness
let' start al ov again fel lov hapi loyalty truth || Ground truth: joy
us lel i already know th whol plot dont wory i would hav warn you d man cid tho that bitch slap gabranth hand away || Ground truth: anger
us so ar you say there' a god chanc that two team might gasp finish last on in th east and on in th west ofend || Ground truth: anger
chiropractor tim crackl pop chiropractor || Ground truth: joy
god bles him in hong kong ex || Ground truth: joy
john let not your heart b troubl neith let it b afraid peac afraid || Ground truth: joy
th on most important th w forget that w ne to denounc terorism not stok comunalism amarnathteroratack || Ground truth: anger
prepar to suf th st of ghost rider' pow prepar to know th tru mean of hel || Ground truth: anger
us id argu that sakura spac i th best of th franchis and it not on your list disapoint || Ground truth: sadness
anoth blow for student a th su hav shun wildcat for fear they wil ofend dr dr || Ground truth: sadness
us unbelievabl aroganc to think you know bet than stephenhawk || Ground truth: anger
dul start || Ground truth: sadness
us yeah hi heart i evil and hi spech reflect that say a lot about your charact that you find it awesom how || Ground truth: anger
us i’m glad to hear that kara don’t hesitat to get in touch again if you ne to cheryl || Ground truth: joy
when you baby ha their first temperatur and al you do i wory firstimemum firstimemom newborn baby sickbaby wory || Ground truth: sadness
us of to jail with lot of oth lik mind muslim with hi koran pray mat halal islam = terorism || Ground truth: anger
i actual hat vision com ov from us i lik mov from man city to qpr a leagu below past it and cloud in chao || Ground truth: anger
on sid i th concern &amp fear our ten safety &amp hapi thathoriblesuicidegam terify sosick contd || Ground truth: sadness
us us i'm dismay at th uk decision to pul out of th eu and i'v urg may to rejoin european leader 😉 || Ground truth: anger
amarnathteroratack muslim ar kil everywher syria iraq palestin everyday beyond they say that islam i terorism sham on you || Ground truth: anger
colorfab ngen worst fila for m god finish but so fragil c us || Ground truth: anger
befor i fear of not hav you in my lif now i fear of let you back into my lif fear || Ground truth: sadness
admit that decision ar hard when you sit in th oval ofic dumbasastick terify || Ground truth: anger
go to b with dry and clean hair bles || Ground truth: joy
us us you real ne bet sourc info and avoid th fak new it ha cloud even th obviou || Ground truth: anger
ask yourself thi if th alga apear to b gon i it real i it worth th risk alga wat toxic threat methan canc || Ground truth: anger
us oh my lord no i just b let him hit himself caus h throw himself on th flor and throw tantrum 🤦 🏽 ‍♀ ️ || Ground truth: anger
jeremyvin tak a slight dul subject and mak it so tedious bor you actual want to rip your own throat out || Ground truth: anger
i kep get so wori about th amount of plastic that get thrown away atm a if i didn't panic enough about th environ already || Ground truth: sadness
us out of hi motherfuck mind don't think anyon could say it any bet terify bigestcrybabyinhistory || Ground truth: anger
oh death wher i your st || Ground truth: sadness
cyclist slam break to pac it to trafic light i slam car breaks&amp tel him care near ran him over=al th cus charm bulwel || Ground truth: anger
majka didn't start || Ground truth: sadness
on that not peti to tak hp for credit so your horific grad in ther mater les orufreshmenadvic || Ground truth: anger
us som jurono play very smart dont suport truth but giv opinion in a way tht ensur govern dont fel ofend || Ground truth: anger
word may st but silenc i what break th heart || Ground truth: sadness
onc you'v ben hurt you'r so scar to get atach again you hav a fear that every person i go to break your ❤️ ️ 💯 || Ground truth: sadness
quick anoying vagu scream into th void agh i'm nervou excit terifi try not to get my hop up || Ground truth: anger
new maden franchis leagu on xb com son folow &amp dm if interest ful team leagu st help decid rul &amp roster || Ground truth: joy
us just becaus you mari money doesn't mean you hav clas it just mean you ar a high pric prostitut adorabl || Ground truth: anger
us sory to burst your bubl but oposi research i part of every political campaign doesn't mat wher it com from || Ground truth: sadness
why would mourinho b talk about lacazet h doesn't wory about oth club' player that' klop and wenger' job || Ground truth: anger
